0,type collection character,type,subtype,remark
177,multiple item types,website-Blog (Collection Of Posts),Radio broadcast,
178,multiple item types,website-Blog (Collection Of Posts),TV broadcast,
179,multiple item types,website-Blog (Collection Of Posts),Video recording,
180,multiple item types,website-Blog (Collection Of Posts),Video,
181,multiple item types,website-Blog (Collection Of Posts),graphic-Animated/interactive,
182,multiple item types,website-Blog (Collection Of Posts),graphic,
183,multiple item types,website-Blog (Collection Of Posts),cartographic,
184,multiple item types,website-Blog (Collection Of Posts),Photograph,
185,multiple item types,website-Blog (Collection Of Posts),Logo,
186,multiple item types,website-Blog (Collection Of Posts),Image,
187,multiple item types,website-Blog (Collection Of Posts),Table,
188,multiple item types,website-Blog (Collection Of Posts),Source code,
189,multiple item types,website-Blog (Collection Of Posts),script,
190,multiple item types,website-Blog (Collection Of Posts),algorithm,
191,multiple item types,website-Blog (Collection Of Posts),Model,
192,multiple item types,website-Blog (Collection Of Posts),Equation,
193,multiple item types,directive document,,
194,multiple item types,directive document,Policy,
195,multiple item types,directive document,Standard operating procedure,
196,multiple item types,directive document,Textbook,
197,multiple item types,directive document,Handbook,
198,multiple item types,directive document,Good Practice Note,
199,multiple item types,directive document,experimental protocol,
200,multiple item types,directive document,internal document,
201,multiple item types,directive document,Briefing paper,
